gene_symbol	Ctrl
AFF1	5.716212972972972
AFF2	5.022053783783784
AFF3	6.602667567567567
AFF4	6.980298378378378
AFG3L1P	5.760831621621623
AFG3L2	5.5006464864864855
AFM	4.216028108108108
AFMID	5.379620270270271
AFP	4.828253243243244
AFTPH	9.35064918918919
AGA	5.935948918918919
AGAP1	5.060946216216216
AGAP10	8.262316756756757
AGAP11	8.535701351351353
AGAP2	4.104958918918919
AGAP3	7.388953513513515
AGAP6	5.530607567567567
AGAP9	5.1974772972973
AGBL2	4.5181178378378375
AGBL3	3.7104000000000004
AGBL5	5.305574864864865
AGER	5.879115675675675
AGFG1	6.48461945945946
AGFG2	6.312304054054053
AGGF1	8.050297297297295
AGK	6.460492162162163
AGL	8.233984324324325
AGMAT	7.193171891891891
AGO1	6.652779189189189
AGO2	5.930104054054053
AGO3	6.157552432432433
AGO4	6.1882708108108115
AGPAT1	7.744203783783786
AGPAT2	6.459672162162163
AGPAT3	6.987054054054054
AGPAT4	5.841767297297296
AGPAT4-IT1	6.083357297297297
AGPAT5	7.909318108108106
