"gene","t_statistic"
"XLOC_013803",1.51356804996406
"KRTAP5-3",1.51342622494431
"XLOC_008015",1.51320270477387
"XLOC_l2_001771",1.51315385800668
"XLOC_l2_012467",1.51283711146975
"HNRNPL",1.51273631160816
"UHRF2",1.51259258318074
"OR52E8",1.51230258810641
"XLOC_005664",1.5119049564815
"PEBP4",1.5113102325829
"KCNJ11",1.51050684157856
"ZBTB26",1.50965366991846
"XLOC_002317",1.50908727933901
"ZNF764",1.50889104793003
"LOC100507163",1.50856468965474
"LOC100288449",1.50795475815732
"LOC100132336",1.50777900919583
"LOC100506192",1.50755813489384
"LOC146880",1.50750150502492
"XLOC_000401",1.50714730986578
"OR2T27",1.50713211559303
"TRIM4",1.50687663325488
"XLOC_004526",1.50668547742806
"LOC100507000",1.50660694266963
"ATP1A2",1.50656286716855
"REG1A",1.50637442431126
"XLOC_002872",1.50624100320048
"GIMAP7",1.50618333600849
"LOC100506923",1.50563025001175
"LOC100130597",1.50561361356363
"ANKRD31",1.50508518691154
"ICA1L",1.50406621222761
"NEFL",1.50371656505325
"XLOC_008380",1.50347115773376
"LOC100506127",1.50327328661321
"XLOC_l2_003737",1.50327229081952
"LOC100507292",1.50324127229642
"XLOC_009402",1.50291823109764
"XLOC_l2_013436",1.50246673971589
"KCTD20",1.50217397195817
"FCGR2C",1.50154066453022
"AKIRIN2",1.50144422690292
"C14orf64",1.50133476286844
"LOC100506415",1.501098325721
"LOC100506890",1.50056662748534
"XLOC_l2_006575",1.49983174083177
"ZNF729",1.49979495371055
"LOC100131232",1.49971625284516
"XLOC_004254",1.49933879292793
"LOC728445",1.49855599415228
"HLA-L",1.49829779829121
"PEX5L",1.4981901446155
"LINC00483",1.49743627851672
"XLOC_002530",1.49723667190779
"FFAR1",1.49711254670075
"SLC39A2",1.4966622858375
"XLOC_002003",1.49616378218344
"ISG15",1.4958864789541
"XLOC_011261",1.49575441249383
"FBXO25",1.49566750182701
"CARD10",1.49549432270612
"XLOC_007739",1.49547761090223
"ZCCHC7",1.49543860742601
"SLC38A3",1.49460039874843
"XLOC_003164",1.4937163791628
"SNORA74B",1.4936978882273
"XLOC_004691",1.49349768583633
"XLOC_012537",1.49349024360312
"FLJ33360",1.49302334809574
"PCSK7",1.49260717698198
"CLEC19A",1.49192429276408
"XLOC_005005",1.49183726320156
"XLOC_002440",1.49165237858189
"XLOC_002744",1.49143515372075
"NDUFA10",1.49108421658657
"XLOC_002135",1.49099770471634
"XLOC_004844",1.49077087655649
"RELN",1.49032694430404
"XLOC_001682",1.4896779452311
"XLOC_012579",1.48892533748461
"GPR83",1.48771636648544
"XIAP",1.48635860785354
"RHBDF1",1.48602255712281
"OR2L3",1.48535838702397
"MMP10",1.48506554091399
"FAM168A",1.48491141284704
"ZCCHC10",1.48491098176558
"OK/SW-CL.36",1.48487588674836
"XLOC_007830",1.48437977272451
"ANKRD6",1.48433845054608
"XLOC_l2_007286",1.48419558625606
"XLOC_008260",1.48412777862754
"XLOC_011921",1.48409459973348
"ALPI",1.48374195943161
"FAM129A",1.48367557699638
"FGF18",1.48323127103044
"PNKP",1.48289598400577
"SPOCK1",1.48270592061745
"ANKAR",1.48253177790611
"LOC146481",1.48234104017413
"MAGEB6",1.48220155493038
"ZNF559",1.48216746433412
"LIN37",1.48182457427704
"ZBED5",1.4815704626672
"XLOC_011699",1.48032049752868
"FLJ43879",1.48008132131496
"TMEM185B",1.47995796931494
"GAN",1.47978927517983
"XLOC_008993",1.47935159615104
"MLYCD",1.47900976943633
"BGLAP",1.47889287080693
"LOC285173",1.47887673660951
"XLOC_013348",1.478578598735
"LRRC3",1.47856879030154
"XLOC_l2_010127",1.47838973728848
"GDA",1.47771498136911
